Date:  17:02, ÐÇÆÚ¶þ, ¾ÅÔÂ 22, 2020
Model name:u_cylinder_shell
Study name:Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (m)  ,Y (m)  ,Z (m)
273  ,132.152     ,8.66612148  ,-3.66480136  ,6.64658642
274  ,131.736     ,8.05000019  ,-3.37749934  ,6.64658642
275  ,131.585     ,7.49312735  ,-2.98757243  ,6.64658642
276  ,131.738     ,7.01242590  ,-2.50687075  ,6.64658642
277  ,132.200     ,6.62250042  ,-1.94999909  ,6.64658642
278  ,132.940     ,6.33519840  ,-1.33387768  ,6.64658642
279  ,133.902     ,6.15924978  ,-0.67722708  ,6.64658642
280  ,133.405     ,11.33387852  ,-3.66480136  ,5.98192692
281  ,132.319     ,10.67722797  ,-3.84075022  ,5.98192692
282  ,131.240     ,10.00000000  ,-3.90000010  ,5.98192692
283  ,130.218     ,9.32277203  ,-3.84075022  ,5.98192692
284  ,129.328     ,8.66612148  ,-3.66480136  ,5.98192692
285  ,128.663     ,8.05000019  ,-3.37749934  ,5.98192692
286  ,128.328     ,7.49312735  ,-2.98757243  ,5.98192692
287  ,128.391     ,7.01242590  ,-2.50687075  ,5.98192692
288  ,128.857     ,6.62250042  ,-1.94999909  ,5.98192692
289  ,129.674     ,6.33519840  ,-1.33387768  ,5.98192692
290  ,130.752     ,6.15924978  ,-0.67722708  ,5.98192692
291  ,131.582     ,11.33387852  ,-3.66480136  ,5.31726837
292  ,130.265     ,10.67722797  ,-3.84075022  ,5.31726837
293  ,128.904     ,10.00000000  ,-3.90000010  ,5.31726837
294  ,127.546     ,9.32277203  ,-3.84075022  ,5.31726837
295  ,126.297     ,8.66612148  ,-3.66480136  ,5.31726837
296  ,125.281     ,8.05000019  ,-3.37749934  ,5.31726837
297  ,124.689     ,7.49312735  ,-2.98757243  ,5.31726837
298  ,124.656     ,7.01242590  ,-2.50687075  ,5.31726837
299  ,125.188     ,6.62250042  ,-1.94999909  ,5.31726837
300  ,126.160     ,6.33519840  ,-1.33387768  ,5.31726837
301  ,127.423     ,6.15924978  ,-0.67722708  ,5.31726837
302  ,129.826     ,11.33387852  ,-3.66480136  ,4.65260983
303  ,128.254     ,10.67722797  ,-3.84075022  ,4.65260983
304  ,126.567     ,10.00000000  ,-3.90000010  ,4.65260983
305  ,124.792     ,9.32277203  ,-3.84075022  ,4.65260983
306  ,123.048     ,8.66612148  ,-3.66480136  ,4.65260983
307  ,121.503     ,8.05000019  ,-3.37749934  ,4.65260983
308  ,120.507     ,7.49312735  ,-2.98757243  ,4.65260983
309  ,120.373     ,7.01242590  ,-2.50687075  ,4.65260983
310  ,121.111     ,6.62250042  ,-1.94999909  ,4.65260983
311  ,122.389     ,6.33519840  ,-1.33387768  ,4.65260983
312  ,123.895     ,6.15924978  ,-0.67722708  ,4.65260983
313  ,128.184     ,11.33387852  ,-3.66480136  ,3.98795128
314  ,126.352     ,10.67722797  ,-3.84075022  ,3.98795128
315  ,124.312     ,10.00000000  ,-3.90000010  ,3.98795128
316  ,122.052     ,9.32277203  ,-3.84075022  ,3.98795128
317  ,119.601     ,8.66612148  ,-3.66480136  ,3.98795128
318  ,117.210     ,8.05000019  ,-3.37749934  ,3.98795128
319  ,115.455     ,7.49312735  ,-2.98757243  ,3.98795128
320  ,115.220     ,7.01242590  ,-2.50687075  ,3.98795128
321  ,116.555     ,6.62250042  ,-1.94999909  ,3.98795128
322  ,126.748     ,11.34470844  ,-3.66084123  ,3.32329369
323  ,124.720     ,10.69992924  ,-3.83667827  ,3.32329369
324  ,122.398     ,10.03459454  ,-3.89984655  ,3.32329369
325  ,119.707     ,9.36824512  ,-3.84849143  ,3.32329369
326  ,116.549     ,8.72044849  ,-3.68412113  ,3.32329369
327  ,112.828     ,8.11022663  ,-3.41156220  ,3.32329369
328  ,109.093     ,7.55549955  ,-3.03881860  ,3.32329369
329  ,108.007     ,7.07255840  ,-2.57683659  ,3.32329369
330  ,111.005     ,6.67558527  ,-2.03918242  ,3.32329369
331  ,114.297     ,6.37623692  ,-1.44164562  ,3.32329369
332  ,125.505     ,11.34283066  ,-3.66153073  ,2.65863419
333  ,123.276     ,10.69599342  ,-3.83739400  ,2.65863419
334  ,120.692     ,10.02859402  ,-3.89989519  ,2.65863419
335  ,117.619     ,9.36034966  ,-3.84718704  ,2.65863419
336  ,113.792     ,8.71100235  ,-3.68082643  ,2.65863419
337  ,108.473     ,8.09973526  ,-3.40572929  ,2.65863419
338  ,100.677     ,7.54460287  ,-3.03002071  ,2.65863419
339  ,99.745      ,7.06200743  ,-2.56480026  ,2.65863419
340  ,106.186     ,6.66620636  ,-2.02381301  ,2.65863419
341  ,111.524     ,6.36888933  ,-1.42303741  ,2.65863419
342  ,124.507     ,11.33387852  ,-3.66480136  ,1.99397469
343  ,122.111     ,10.67722797  ,-3.84075022  ,1.99397469
344  ,119.332     ,10.00000000  ,-3.90000010  ,1.99397469
345  ,116.034     ,9.32277203  ,-3.84075022  ,1.99397469
346  ,111.946     ,8.66612148  ,-3.66480136  ,1.99397469
347  ,106.400     ,8.05000019  ,-3.37749934  ,1.99397469
348  ,100.001     ,7.49312735  ,-2.98757243  ,1.99397469
349  ,99.891      ,7.01242590  ,-2.50687075  ,1.99397469
350  ,105.473     ,6.62250042  ,-1.94999909  ,1.99397469
351  ,110.735     ,6.33519840  ,-1.33387768  ,1.99397469
352  ,123.816     ,11.33387852  ,-3.66480136  ,1.32931709
353  ,121.358     ,10.67722797  ,-3.84075022  ,1.32931709
354  ,118.549     ,10.00000000  ,-3.90000010  ,1.32931709
355  ,115.327     ,9.32277203  ,-3.84075022  ,1.32931709
356  ,111.618     ,8.66612148  ,-3.66480136  ,1.32931709
357  ,107.432     ,8.05000019  ,-3.37749934  ,1.32931709
358  ,103.671     ,7.49312735  ,-2.98757243  ,1.32931709
359  ,103.271     ,7.01242590  ,-2.50687075  ,1.32931709
360  ,106.738     ,6.62250042  ,-1.94999909  ,1.32931709
361  ,110.572     ,6.33519840  ,-1.33387768  ,1.32931709
362  ,113.981     ,6.15924978  ,-0.67722708  ,1.32931709
363  ,123.408     ,11.33387852  ,-3.66480136  ,0.66465759
364  ,120.932     ,10.67722797  ,-3.84075022  ,0.66465759
365  ,118.146     ,10.00000000  ,-3.90000010  ,0.66465759
366  ,115.061     ,9.32277203  ,-3.84075022  ,0.66465759
367  ,111.821     ,8.66612148  ,-3.66480136  ,0.66465759
368  ,108.686     ,8.05000019  ,-3.37749934  ,0.66465759
369  ,106.552     ,7.49312735  ,-2.98757243  ,0.66465759
370  ,106.332     ,7.01242590  ,-2.50687075  ,0.66465759
371  ,108.085     ,6.62250042  ,-1.94999909  ,0.66465759
372  ,110.878     ,6.33519840  ,-1.33387768  ,0.66465759
373  ,113.906     ,6.15924978  ,-0.67722708  ,0.66465759
374  ,145.554     ,11.33387852  ,-3.66480136  ,10.63453770
375  ,145.400     ,10.67722797  ,-3.84075022  ,10.63453770
376  ,145.350     ,10.00000000  ,-3.90000010  ,10.63453770
377  ,145.418     ,9.32277203  ,-3.84075022  ,10.63453770
378  ,145.618     ,8.66612148  ,-3.66480136  ,10.63453770
379  ,145.963     ,8.05000019  ,-3.37749934  ,10.63453770
380  ,146.467     ,7.49312735  ,-2.98757243  ,10.63453770
381  ,147.140     ,7.01242590  ,-2.50687075  ,10.63453770
382  ,147.984     ,6.62250042  ,-1.94999909  ,10.63453770
383  ,149.000     ,6.33519840  ,-1.33387768  ,10.63453770
384  ,150.177     ,6.15924978  ,-0.67722708  ,10.63453770
